Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,-log10_padj
SERPINI2,4.259432077010559,-2.506402840295571,0.5956050287496291,-4.208162656983161,2.574555219315072e-05,0.002114722422578619,2.674746629827355
STAT4,24.2405685440327,1.7505994765015955,0.41600635011578085,4.208107583007753,2.5751826359498853e-05,0.002114722422578619,2.674746629827355
XCL2,10.507816132701949,2.285892134368344,0.5434813370597998,4.2060177203781794,2.5990986292286717e-05,0.0021223035304091522,2.6731925034908426
HOXA9,110.02806991055068,-2.3966984095029042,0.5701234866145342,-4.2038233220925605,2.6244381951285075e-05,0.0021309553502355237,2.671425649933606
SLC16A6,8.663903290214025,1.6810478605692791,0.40036627469490255,4.1987748889446666,2.6836293804955962e-05,0.0021548053020168253,2.6665919645193363
ZNF704,12.53679342677328,-2.640466270130676,0.6287350861822496,-4.1996483545460865,2.673298278168956e-05,0.0021548053020168253,2.6665919645193363
PKIB,11.060421636261108,-3.044258325986815,0.7260068578825504,-4.19315367745369,2.751029382729693e-05,0.0021548179267434496,2.6665894200513782
APPL1,166.7705876873054,-0.7172386228485819,0.171043630618824,-4.1933079896261685,2.7491578381230684e-05,0.0021548179267434496,2.6665894200513782
LOC101927596,5.045803202783193,2.517889137170997,0.6006015701276868,4.192278645951089,2.761664961246821e-05,0.0021548179267434496,2.6665894200513782
SPATA13,75.09181525746307,1.073051749687018,0.2556786282471683,4.196876982027935,2.706208305987058e-05,0.0021548179267434496,2.6665894200513782
SPINK2,408.353487779331,-2.8406406727489872,0.6777402253122863,-4.1913414117335135,2.7730999403188377e-05,0.0021548179267434496,2.6665894200513782
CHRM3-AS2,4.340258560892312,2.468072550935761,0.5881925400353429,4.196028312068461,2.7163630632625548e-05,0.0021548179267434496,2.6665894200513782
NELL2,15.308421190346037,2.8523437327070114,0.6823238385381518,4.18033721175275,2.9107712614188607e-05,0.002249699307020684,2.647875525456862
ST6GALNAC1,5.483969163959243,2.856158697670682,0.6837100866365617,4.1774412188669725,2.9480681663828406e-05,0.0022544142438482113,2.6469662802650875
EML4,123.26185030962206,1.0492884283699588,0.25112447513146785,4.1783598664392985,2.9361881760737162e-05,0.0022544142438482113,2.6469662802650875
NOSIP,111.6979957336853,1.2610657458114132,0.30199316945413657,4.175808837301965,2.969290999942707e-05,0.0022586927801143126,2.646142836354808
GOLGA8M,3.966414402934347,-2.5767110419991774,0.6176020519038281,-4.172121893144905,3.0177611406038844e-05,0.0022747826878218172,2.643060085594859
RAB44,15.083841567492469,-1.5848825037038559,0.3799030238559189,-4.171808077802862,3.0219212347733266e-05,0.0022747826878218172,2.643060085594859
STAR,7.256389971139939,-1.8929199026129153,0.454252219081365,-4.167112064836955,3.08482867023583e-05,0.0023101051176641686,2.63636825777763
EPB41,188.72756540177957,0.7584093013336903,0.1820737183849408,4.16539689561488,3.1081136770222104e-05,0.0023155446893815467,2.6353468328240433
KIAA0355,23.30503318163731,1.1845545519787888,0.2846564721026705,4.161347687719326,3.163749769286612e-05,0.0023329426232397655,2.6320959421821497
PTGDR,5.516021440731018,2.4888054101547317,0.597993278428888,4.16192873721522,3.15570840544159e-05,0.0023329426232397655,2.6320959421821497
