Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC25A29,30.383339573892297,-1.1593982806126963,0.37718942223080354,-3.073782593784553,0.0021136340021495124,0.03739088400620184
ZNF516,28.99433916466992,-1.159090546441045,0.28457790953639545,-4.0730165891277865,4.6408117455817994e-05,0.002994359471379185
MROH6,3.2442634298112902,-1.1566792575691194,0.3784363230852657,-3.0564699713259484,0.0022395991239811783,0.03841987703560692
NREP,115.59138457047509,-1.149434590298173,0.2998980414704114,-3.8327512399295847,0.0001267180757824186,0.005670143496233114
HLA-DRA,940.691253897326,-1.1491366555939106,0.3620919026580914,-3.1736049526603014,0.0015055845791333018,0.02989040373930441
SERPINB1,847.2161647747741,-1.1487712986499317,0.23739581946212635,-4.839054458721015,1.3045829901789263e-06,0.0003518921843319215
DDAH2,74.8878355880278,-1.1482056138192798,0.30798159293133903,-3.7281631116027745,0.00019288052944673568,0.007743617478037975
SCARB1,8.852276921650672,-1.146262823136052,0.35280356081429565,-3.2490114909565997,0.0011580679994658129,0.025407891079820343
RRAGD,27.500689195768395,-1.145577943067446,0.3430009868896373,-3.3398677754709865,0.0008381828688909068,0.02060247789809571
NFIX,29.883802963305047,-1.1397975746451559,0.34745117726441244,-3.280453914760413,0.001036401951416418,0.023552071389656433
CD74,694.5696470469304,-1.138856776739991,0.341839654942953,-3.331552557675165,0.0008636299042936434,0.02090794473493472
RNF135,12.598022342498252,-1.137515997905526,0.3708891000240241,-3.066997649248372,0.0021622055760511186,0.03774858533090362
CD99P1,8.505621010971925,-1.134658435305318,0.3142347240367839,-3.6108626721103443,0.00030518022950903965,0.01044950306327033
FAM69B,13.438467499365961,-1.1346569214884312,0.3818505887103623,-2.971468304711926,0.002963794643930717,0.04610949837322998
ZNF618,15.421425942327467,-1.131257461494726,0.2516713370088384,-4.494979344648204,6.9576700642016905e-06,0.0009478663232238825
BMF,10.513384847143302,-1.116395929594678,0.3625544725910055,-3.0792501927126255,0.0020752232479136655,0.036907318174682055
LINC02021,3.2841925818504567,-1.1150628855764535,0.36873992556849716,-3.0239819673915926,0.0024947130790183053,0.041348724920930696
ZBTB34,24.266431766553495,-1.1145791157804783,0.30827935838230913,-3.6154840908882577,0.00029978688624436866,0.01037341805589028
LOC100507507,8.789636606440988,-1.109067930375379,0.26290129862467665,-4.218571517817824,2.458549896387184e-05,0.002060227332911978
ZSCAN31,8.6945483138762,-1.1048215462328124,0.3582158144745743,-3.0842344240254955,0.002040767215597273,0.03657742563704322
SH3RF1,15.20674266946252,-1.104269860395289,0.37128344773364313,-2.974196310489679,0.0029375707428460187,0.04580011860448059
C20orf194,16.591266028524622,-1.102563974668378,0.3149537389497357,-3.5007172111849068,0.0004640079324379451,0.013686340096991063
LPCAT2,69.35776816425319,-1.0985344620278403,0.3471453631353108,-3.164479721423362,0.0015536048808535762,0.030575084029988084
NT5DC3,19.56668144545497,-1.0955086891330261,0.3001300712813612,-3.6501130475060792,0.00026212491906453175,0.009542799635364427
ALCAM,110.91367664818635,-1.0927321987245902,0.2676862266249517,-4.082138302377392,4.462322737984483e-05,0.002958438097802281
LINC01678,5.444912156909472,-1.0839643726671309,0.35051794954107957,-3.092464662897652,0.001985018653904746,0.03608738944010729
PAN3,146.3722849749273,-1.0832098872408273,0.2449983784211252,-4.421294109052872,9.811152317602673e-06,0.0011719056565810862
ATP1B1,36.31748789774807,-1.0819408966927855,0.3544988035716545,-3.052029755226223,0.0022729956773022315,0.03864894885182253
ALDH3B1,35.64207704904155,-1.072257284041366,0.35182648663053767,-3.0476877801624176,0.00230609393106224,0.0390738283536255
C16orf86,5.183978273168679,-1.053778630801046,0.3024217303878384,-3.484467301505205,0.0004931177108503212,0.014311305772931108
